number_of_samples,mae_mm,rmse_mm,median_absolute_error_mm,p90_absolute_error_mm,maximum_absolute_error_mm,signed_bias_mm,r_squared,pearson_correlation,spearman_correlation,outer_fold_id,validation_track,training_tracks,representation_id,model_family,ridge_alpha,sample_count,preprocessing_fit_tracks,held_out_statistics_used,human_reference_used,random_position_split,mae_difference_vs_x_only_mm,relative_mae_change_vs_x_only,residual_correlation,residual_variance_explained,correction_above_0p02_fraction,correction_above_0p05_fraction,correction_above_0p10_fraction
391,0.09662128598731723,0.13132731797624606,0.07728872736933534,0.1714156074688411,0.6929090883069594,-0.01381149531995642,-0.007750900026911367,0.05909609711554013,0.11643413829278174,holdout_track_8,8,10;14,thermal_shape_features,x_plus_thermal_residual,1000.0,391,10;14,False,False,False,-0.009785912469040897,-0.09196663957894252,-0.1056747054273172,0.08440231721722036,0.9846547314578005,0.0025575447570332483,0.0025575447570332483
379,0.10208913120541187,0.12812004191159068,0.08541712887774766,0.2043591426034127,0.4333219378459391,0.0030719437598144324,-0.04587038522725062,-0.02843440249795523,-0.05287619893082684,holdout_track_10,10,8;14,current_background_subtracted,x_plus_thermal_residual,1000.0,379,8;14,False,False,False,0.0008170825438209295,0.008068194083357388,-0.03243162220864567,-0.006509251561384932,0.0158311345646438,0.0,0.0
385,0.11175554719564465,0.145872925722938,0.08523435815021874,0.25370745731838007,0.5699492928620807,0.04280410134930031,-0.34609059771451767,-0.04205665710137025,-0.021344758149264266,holdout_track_14,14,8;10,current_absolute,x_plus_thermal_residual,10.0,385,8;10,False,False,False,0.009188047942190664,0.08958050073431281,-0.082039044947238,-0.24323232354986257,0.6961038961038961,0.3246753246753247,0.05974025974025974
