evaluation_type,aggregation,mae_mm,rmse_mm,median_absolute_error_mm,p90_absolute_error_mm,maximum_absolute_error_mm,signed_bias_mm,r_squared,pearson_correlation,spearman_correlation
nested_representation_selection,unweighted_track_mean,0.10348865479612457,0.13510676187025825,0.08264673813243391,0.20982740246354462,0.5653934396716598,0.010688183263052773,-0.13323729432289322,-0.003798320827928449,0.014071060404230208
fixed_representation_descriptive,unweighted_track_mean,0.09966158986522285,0.12846221065927677,0.0822909578145334,0.19158901878916182,0.5179024803430837,0.002021091286798372,-0.01902052825040031,0.04551500674132869,0.05956369826535569
