held_out_track,model_id,sample_count,mae,rmse,median_absolute_error,p90_absolute_error,maximum_absolute_error,signed_bias,r_squared,pearson_correlation,spearman_correlation,x_only_mae,absolute_mae_change_vs_x_only,relative_mae_change_vs_x_only,corresponding_unimodal_model,absolute_mae_change_vs_corresponding_unimodal,relative_mae_change_vs_corresponding_unimodal
8,training_mean,232,0.11013382596257924,0.1378455211584456,0.09455910762331843,0.1961001076233183,0.6679938923766817,-0.05576893520952531,-0.1957165902334712,,,0.10969438856164611,0.00043943740093313477,0.0040060153185154,,,
8,x_only,232,0.10969438856164611,0.13736977921906013,0.09382832585325407,0.19903105463072296,0.6625828925011056,-0.055621836059648634,-0.18747735411841204,0.15817234954336143,0.1078021311677256,0.10969438856164611,0.0,0.0,,,
8,fixed_thermal_shape_ridge,232,0.10328957087393663,0.13292637253527098,0.09083893537950133,0.18202514029690428,0.6879168575481082,-0.03354667644373438,-0.11189875075437117,-0.15708854440758194,-0.17964266735862325,0.10969438856164611,-0.00640481768770948,-0.05838783343151684,,,
8,sem_summary_ridge,232,0.09835581130597938,0.12709098651277473,0.08331018800179624,0.16573365246436003,0.6546828549214072,-0.021765336112746038,-0.0164182101396817,0.12968750486752656,0.0847984356837842,0.10969438856164611,-0.011338577255666726,-0.10336515298861133,,,
8,sem_pca_ridge,232,0.130376836569652,0.15660474012933087,0.1316214076177712,0.2293447693963779,0.644418382458133,-0.08545472318662087,-0.5433084782623059,-0.06109030387119213,-0.0351552402448026,0.10969438856164611,0.02068244800800588,0.1885460895420621,,,
8,thermal_plus_sem_summary_ridge,232,0.09656476134525495,0.12627063437337038,0.08154194555963246,0.1550857712090976,0.667212550595178,-0.009927064200910883,-0.0033389228446039088,0.09693772640798802,0.0500872191412411,0.10969438856164611,-0.01312962721639116,-0.11969278819593006,sem_summary_ridge,-0.0017910499607244335,-0.018209904803210643
8,thermal_plus_sem_pca_ridge,232,0.1283373221841249,0.15631354644910886,0.12688960871418747,0.22650182048904738,0.6710514193418208,-0.07605871518015676,-0.5375745028751102,-0.06309186079851643,-0.018093485321941955,0.10969438856164611,0.018642933622478805,0.16995339385115255,sem_pca_ridge,-0.0020395143855270748,-0.015643226505480466
8,sem_summary_upstream_ridge,232,0.10397993172543002,0.1315801429236476,0.09457233220601746,0.1814497377756604,0.6567161049049883,-0.042282054042508316,-0.08949099051434262,0.16255998425960486,0.09672076041653092,0.10969438856164611,-0.005714456836216089,-0.05209434056879469,,,
8,sem_pca_upstream_ridge,232,0.12015867740115209,0.1466527815351689,0.11692965058611487,0.2169910713641512,0.6429574719935301,-0.07245578991068796,-0.353391812309666,0.04234181949119156,0.0637520005237637,0.10969438856164611,0.01046428883950598,0.09539493292881845,,,
10,training_mean,222,0.09750550387229336,0.12697528893836446,0.07739575877192983,0.2127837587719299,0.4477217587719299,0.010831785798956838,-0.007330501571771952,,,0.0978168374513879,-0.00031133357909454706,-0.003182821968142966,,,
