cohort_id,model_id,sample_count,mae_mm,rmse_mm,median_absolute_error_mm,signed_bias_mm,mean_pinball_mm,crps_mm,coverage90,mean_pi90_width_mm,calibration
cohort_A,training_mean,372,0.12068418279569891,0.15888386173801994,0.09655746666666659,0.06061242365591392,,,,,
cohort_A,x_only,372,0.12031881266102584,0.15949946665191939,0.0934378372666847,0.06006573667306821,,,,,
cohort_A,thermal_v1,372,0.11748425609705991,0.14991076503371192,0.1007034484379351,0.00591545515018549,,,,,
cohort_A,anchor_only,372,0.31673433542091683,0.34518391573265417,0.3297539868629878,-0.31255037961809484,0.11822260713019532,0.2629248486504591,0.23118279569892472,0.460879982361275,"{'q05': 0.0, 'q25': 0.008064516129032258, 'q50': 0.03494623655913978, 'q75': 0.07526881720430108, 'q95': 0.23118279569892472}"
cohort_A,anchor_residual_inflated,372,0.1332220158499425,0.16069596170624656,0.12119699082129093,-0.06789733395271016,0.04399981435022155,0.10374611972185846,0.9650537634408602,0.7003128488222634,"{'q05': 0.005376344086021506, 'q25': 0.06720430107526881, 'q50': 0.2768817204301075, 'q75': 0.5806451612903226, 'q95': 0.9704301075268817}"
cohort_A,anchor_residual,372,0.1332220158499425,0.16069596170624656,0.12119699082129093,-0.06789733395271016,0.04516531466997526,0.10631076474733903,0.803763440860215,0.5743155441902736,"{'q05': 0.013440860215053764, 'q25': 0.06989247311827956, 'q50': 0.2768817204301075, 'q75': 0.478494623655914, 'q95': 0.8172043010752689}"
cohort_B,training_mean,233,0.11248122827807107,0.14519507313155966,0.08941293215339241,0.049888707331586124,,,,,
cohort_B,x_only,233,0.11185614898114501,0.14462020877990694,0.08971929276614787,0.04920736412382336,,,,,
cohort_B,thermal_v1,233,0.10845093278817482,0.13864234253077373,0.09021432461659484,0.01689299191630932,,,,,
cohort_B,anchor_only,233,0.32259932077872555,0.35038885827127136,0.331067669462574,-0.32149943688783195,0.12088675677371959,0.2685560966359847,0.21030042918454936,0.46087998236127503,"{'q05': 0.0, 'q25': 0.0, 'q50': 0.02145922746781116, 'q75': 0.06437768240343347, 'q95': 0.21030042918454936}"
cohort_B,anchor_residual_inflated,233,0.1319060576446405,0.15719359187411092,0.12095738628409292,-0.07855137345917602,0.04374709539552779,0.10313075756749089,0.9656652360515021,0.7013427546908984,"{'q05': 0.0, 'q25': 0.055793991416309016, 'q50': 0.26180257510729615, 'q75': 0.5622317596566524, 'q95': 0.9656652360515021}"
cohort_B,anchor_residual,233,0.1319060576446405,0.15719359187411092,0.12095738628409292,-0.07855137345917602,0.045102628369327144,0.10610055798876056,0.8111587982832618,0.5752807471019682,"{'q05': 0.0, 'q25': 0.055793991416309016, 'q50': 0.26180257510729615, 'q75': 0.44635193133047213, 'q95': 0.8111587982832618}"
